SPEEDELEC Booster; 35; 10900; FALSE; 13200; green; 1279
SPEEDELEC EcoRide; 20; 12100; FALSE; 5400; golden; 1199
FOLDING BIKE FOLDING BIKE Trinx; 26; 24; 14500; FALSE; green; 905
FOLDING BIKE FOLDING BIKE Intertool; 26; 9; 13400; FALSE; emerald; 435
E-BIKE Rover; 45; 25700; FALSE; 23000; orange; 3069
FOLDING BIKE FOLDING BIKE Stern; 16; 1; 13500; FALSE; white; 899
E-BIKE Rover; 20; 19000; FALSE; 11000; khaki; 1009
FOLDING BIKE FOLDING BIKE Brompton; 24; 3; 10400; FALSE; olive; 1315
FOLDING BIKE FOLDING BIKE Crosser; 20; 1; 14700; FALSE; silver; 375
FOLDING BIKE FOLDING BIKE Dahon; 24; 8; 13100; FALSE; silver; 229
SPEEDELEC Speedelec Minirider; 10; 7800; FALSE; 8900; grey; 869
SPEEDELEC AirWheel; 15; 12500; FALSE; 13400; blue; 1675
E-BIKE Mando Footloose; 30; 20700; FALSE; 23000; dark gray; 2849
SPEEDELEC Kugoo; 10; 15800; FALSE; 14100; orange; 1575
E-BIKE ION; 35; 28400; FALSE; 31000; yellow; 3245
SPEEDELEC Tesla; 65; 12600; FALSE; 6400; brown; 199
FOLDING BIKE FOLDING BIKE West Bike; 26; 18; 16400; FALSE; green; 335
FOLDING BIKE FOLDING BIKE West Bike; 20; 18; 11200; FALSE; red; 419
SPEEDELEC Maraton; 25; 21100; FALSE; 12300; lemon; 909
FOLDING BIKE FOLDING BIKE Make Bike; 18; 1; 12200; FALSE; lemon; 1305
FOLDING BIKE FOLDING BIKE West Bike; 18; 21; 15100; FALSE; coral; 1065
SPEEDELEC E-Scooter; 45; 13500; FALSE; 6100; white; 659
SPEEDELEC Maraton; 50; 21400; FALSE; 11300; green; 1105
SPEEDELEC Speedway; 50; 7200; FALSE; 11800; olive; 1325
SPEEDELEC Smart; 35; 20000; FALSE; 11700; golden; 245
E-BIKE Mercedes; 55; 25800; FALSE; 27000; olive; 825
FOLDING BIKE FOLDING BIKE Formula; 20; 8; 16000; FALSE; green; 669
SPEEDELEC Tesla; 65; 18900; FALSE; 13900; olive; 229
FOLDING BIKE FOLDING BIKE SkyBike; 26; 9; 8700; FALSE; grey; 1179
SPEEDELEC Kugoo; 35; 14400; FALSE; 7800; golden; 745
FOLDING BIKE FOLDING BIKE Titan; 20; 24; 11800; FALSE; flame; 1499
FOLDING BIKE FOLDING BIKE Benetti; 14; 7; 13400; FALSE; coral; 305
E-BIKE GoCycle; 35; 27900; FALSE; 10000; brown; 2685
FOLDING BIKE FOLDING BIKE Trinx; 20; 21; 12300; FALSE; rose; 1425
E-BIKE E-Motion; 50; 23300; FALSE; 19000; dark gray; 3419
SPEEDELEC AirWheel; 50; 8400; FALSE; 7900; emerald; 1599
SPEEDELEC E-Scooter; 10; 15800; FALSE; 3100; yellow; 1375
E-BIKE Farad; 30; 28700; FALSE; 14000; yellow; 2245
SPEEDELEC OIO; 45; 10300; FALSE; 13400; pink; 959
E-BIKE Mando Footloose; 35; 23000; FALSE; 19000; green; 2495
SPEEDELEC Xiaomi; 40; 6500; FALSE; 9000; silver; 375
FOLDING BIKE FOLDING BIKE Author; 24; 7; 11900; FALSE; red; 685
E-BIKE Farad; 45; 21500; FALSE; 12000; silver; 1385
SPEEDELEC Maraton; 30; 14800; FALSE; 12800; white; 889
SPEEDELEC Booster; 50; 17900; FALSE; 3100; lemon; 1399
FOLDING BIKE FOLDING BIKE West Bike; 14; 21; 8300; FALSE; yellow; 189
E-BIKE Zaxboard; 30; 20300; FALSE; 29000; pink; 2205
FOLDING BIKE FOLDING BIKE Stern; 20; 1; 8200; FALSE; orange; 615
SPEEDELEC Speedelec Minirider; 55; 15200; FALSE; 5600; green; 899
FOLDING BIKE FOLDING BIKE Flex; 24; 8; 9300; FALSE; orange; 779
E-BIKE Scott; 20; 20900; FALSE; 23000; dark gray; 1465
SPEEDELEC Xiaomi; 60; 13800; FALSE; 12700; brown; 1475
FOLDING BIKE FOLDING BIKE Polygon; 24; 6; 15900; FALSE; violet; 405
E-BIKE ION; 20; 26900; FALSE; 21000; golden; 1359
E-BIKE Mando Footloose; 40; 27600; FALSE; 16000; flame; 2105
FOLDING BIKE FOLDING BIKE Flex; 26; 3; 12000; FALSE; pink; 835
SPEEDELEC AirWheel; 45; 13500; FALSE; 4600; yellow; 1039
FOLDING BIKE FOLDING BIKE West Bike; 24; 1; 10800; FALSE; red; 525
SPEEDELEC Speedelec Minirider; 30; 19700; FALSE; 3100; grey; 1649
FOLDING BIKE FOLDING BIKE Make Bike; 26; 1; 10300; FALSE; lemon; 765
FOLDING BIKE FOLDING BIKE Make Bike; 14; 24; 13100; FALSE; red; 625
SPEEDELEC Booster; 10; 7300; FALSE; 7600; flame; 239
FOLDING BIKE FOLDING BIKE Titan; 24; 7; 16900; FALSE; green; 1339
SPEEDELEC Kugoo; 15; 10200; FALSE; 12200; khaki; 815
E-BIKE Mercedes; 45; 24200; FALSE; 28000; beige; 2399
SPEEDELEC Speedway; 25; 21900; FALSE; 15000; rose; 559
E-BIKE Porshe Design; 60; 26500; FALSE; 25000; dark gray; 3479
SPEEDELEC OIO; 30; 18400; FALSE; 10800; golden; 1519
SPEEDELEC Peugeot; 35; 13900; FALSE; 3100; marine; 1355
E-BIKE Xiaomi; 65; 28900; FALSE; 14000; golden; 1535
FOLDING BIKE FOLDING BIKE Intertool; 24; 3; 11500; FALSE; pink; 1579
E-BIKE ION; 60; 28900; FALSE; 31000; emerald; 3099
FOLDING BIKE FOLDING BIKE Cayman; 24; 6; 11600; FALSE; orange; 1315
E-BIKE Felt; 65; 21900; FALSE; 26000; white; 3359
FOLDING BIKE FOLDING BIKE Stern; 14; 24; 9800; FALSE; white; 465
SPEEDELEC Booster; 25; 13500; FALSE; 8900; black; 869
FOLDING BIKE FOLDING BIKE Titan; 20; 9; 13800; FALSE; violet; 1239
SPEEDELEC E-Scooter; 10; 8600; FALSE; 10200; black; 605
FOLDING BIKE FOLDING BIKE Flex; 26; 1; 13400; FALSE; white; 595
SPEEDELEC Segway; 50; 17900; FALSE; 5900; brown; 659
SPEEDELEC Aest; 45; 6900; FALSE; 5500; brown; 1635
SPEEDELEC Booster; 40; 9900; FALSE; 2400; black; 1635
FOLDING BIKE FOLDING BIKE Benetti; 24; 9; 15100; FALSE; dark gray; 519
SPEEDELEC Xiaomi; 20; 11700; FALSE; 4700; white; 309
FOLDING BIKE FOLDING BIKE VNV; 20; 9; 9700; FALSE; grenadine; 1325
E-BIKE ION; 20; 22300; FALSE; 28000; golden; 1179
SPEEDELEC Segway; 35; 14800; FALSE; 3400; green; 319
SPEEDELEC Speedelec Minirider; 65; 7800; FALSE; 9700; rose; 665
E-BIKE Porshe Design; 60; 28300; FALSE; 30000; white; 2869
E-BIKE Porshe Design; 40; 20800; FALSE; 18000; green; 1119
FOLDING BIKE FOLDING BIKE Kross; 18; 21; 10200; FALSE; blue; 1269
E-BIKE Mercedes; 65; 23800; FALSE; 19000; blue; 3259
SPEEDELEC Speedelec Minirider; 50; 12600; FALSE; 13700; grenadine; 739
E-BIKE Zaxboard; 55; 23300; FALSE; 21000; coral; 1705
SPEEDELEC Maraton; 60; 13700; FALSE; 3000; beige; 625
FOLDING BIKE FOLDING BIKE Titan; 18; 9; 15000; FALSE; blue; 385
SPEEDELEC Speedelec Minirider; 35; 7000; FALSE; 10500; khaki; 265
E-BIKE Scott; 45; 25900; FALSE; 21000; pink; 1759
SPEEDELEC AirWheel; 60; 16900; FALSE; 14100; blue; 295
SPEEDELEC Freego; 25; 9900; FALSE; 15100; marine; 765
E-BIKE Rover; 25; 25000; FALSE; 8000; beige; 829
FOLDING BIKE FOLDING BIKE Crosser; 20; 1; 13600; FALSE; red; 469
SPEEDELEC ITrike; 65; 9900; FALSE; 9000; rose; 205
SPEEDELEC OIO; 60; 14100; FALSE; 9100; silver; 415
SPEEDELEC Ultron; 45; 21900; FALSE; 2300; marine; 1459
SPEEDELEC Kugoo; 40; 20100; FALSE; 8100; grenadine; 425
FOLDING BIKE FOLDING BIKE Dahon; 16; 18; 11400; FALSE; beige; 709
SPEEDELEC ITrike; 50; 17200; FALSE; 5200; violet; 1355
E-BIKE Porshe Design; 20; 27700; FALSE; 20000; grenadine; 1309
E-BIKE Koga; 30; 21200; FALSE; 25000; beige; 1019
SPEEDELEC Booster; 10; 21400; FALSE; 9700; brown; 1019
FOLDING BIKE FOLDING BIKE Trinx; 24; 3; 13900; FALSE; beige; 1115
SPEEDELEC OIO; 40; 9900; FALSE; 6100; violet; 535
FOLDING BIKE FOLDING BIKE Stern; 24; 3; 13400; FALSE; beige; 1209
E-BIKE ElectrO; 20; 19800; FALSE; 21000; beige; 1875
FOLDING BIKE FOLDING BIKE Comanche; 26; 1; 9900; FALSE; grey; 199
E-BIKE Haibike; 25; 24300; FALSE; 25000; beige; 1975
FOLDING BIKE FOLDING BIKE Polygon; 20; 8; 14100; FALSE; grey; 309
SPEEDELEC Tesla; 50; 20000; FALSE; 2900; khaki; 325
SPEEDELEC E-Scooter; 60; 8300; FALSE; 13100; silver; 345
SPEEDELEC Xiaomi; 60; 17000; FALSE; 12300; violet; 1209
E-BIKE Gazelle; 55; 25300; FALSE; 13000; beige; 1569
FOLDING BIKE FOLDING BIKE Author; 26; 24; 10200; FALSE; black; 1599
E-BIKE Haibike; 40; 25100; FALSE; 13000; beige; 2445
E-BIKE Rover; 25; 23300; FALSE; 26000; olive; 679
E-BIKE SkyBike; 45; 27900; FALSE; 30000; violet; 2125
SPEEDELEC Aest; 20; 11700; FALSE; 12800; emerald; 365
SPEEDELEC ITrike; 60; 16300; FALSE; 3800; white; 1549
FOLDING BIKE FOLDING BIKE Comanche; 20; 1; 11600; FALSE; pink; 279
E-BIKE Zaxboard; 25; 23500; FALSE; 26000; beige; 2785
FOLDING BIKE FOLDING BIKE Crosser; 16; 7; 12200; FALSE; pink; 695
E-BIKE Felt; 55; 22700; FALSE; 29000; white; 2835
FOLDING BIKE FOLDING BIKE Kross; 24; 6; 11600; FALSE; yellow; 759
SPEEDELEC AirWheel; 45; 7000; FALSE; 13000; golden; 299
SPEEDELEC ITrike; 55; 13300; FALSE; 10300; khaki; 1019
FOLDING BIKE FOLDING BIKE Kross; 20; 8; 11500; FALSE; green; 345
SPEEDELEC EcoRide; 45; 10900; FALSE; 13600; pink; 355
FOLDING BIKE FOLDING BIKE Kross; 20; 8; 14800; FALSE; yellow; 1675
FOLDING BIKE FOLDING BIKE Titan; 26; 27; 16900; FALSE; grey; 1299
SPEEDELEC Maraton; 40; 18900; FALSE; 6800; pink; 869
SPEEDELEC OIO; 20; 13800; FALSE; 5600; emerald; 135
FOLDING BIKE FOLDING BIKE Polygon; 20; 1; 10700; FALSE; emerald; 1355
E-BIKE Mercedes; 50; 23600; FALSE; 15000; emerald; 1505
E-BIKE Ecofect; 45; 26900; FALSE; 14000; dark gray; 1575
SPEEDELEC Tesla; 35; 18700; FALSE; 2000; beige; 489
E-BIKE Felt; 50; 28900; FALSE; 25000; olive; 2599
FOLDING BIKE FOLDING BIKE Formula; 18; 9; 10100; FALSE; coral; 1625
FOLDING BIKE FOLDING BIKE Formula; 24; 7; 9600; FALSE; grey; 385
E-BIKE Felt; 45; 20900; FALSE; 18000; grenadine; 1765
E-BIKE Haibike; 40; 23800; FALSE; 30000; pink; 1455
SPEEDELEC Maraton; 30; 18700; FALSE; 2200; golden; 415
E-BIKE Farad; 35; 21900; FALSE; 11000; coral; 3419
FOLDING BIKE FOLDING BIKE Make Bike; 20; 24; 14000; FALSE; silver; 1219
SPEEDELEC AirWheel; 20; 14500; FALSE; 11600; orange; 499
FOLDING BIKE FOLDING BIKE Dahon; 20; 27; 15900; FALSE; rose; 1589
E-BIKE Felt; 25; 25200; FALSE; 30000; white; 669
SPEEDELEC Speedway; 35; 19200; FALSE; 10400; brown; 1019
FOLDING BIKE FOLDING BIKE SkyBike; 24; 21; 11900; FALSE; pink; 1029
SPEEDELEC AirWheel; 30; 19600; FALSE; 11500; grenadine; 1555
FOLDING BIKE FOLDING BIKE Trinx; 18; 8; 13500; FALSE; white; 1465
SPEEDELEC Freego; 45; 20700; FALSE; 12000; silver; 1445
FOLDING BIKE FOLDING BIKE West Bike; 16; 21; 14000; FALSE; rose; 1305
E-BIKE GoCycle; 45; 22700; FALSE; 23000; grey; 2429
SPEEDELEC Aest; 50; 19500; FALSE; 6300; red; 1385
FOLDING BIKE FOLDING BIKE Cayman; 20; 1; 12700; FALSE; flame; 1299
FOLDING BIKE FOLDING BIKE Trinx; 26; 7; 13400; FALSE; grenadine; 1675
E-BIKE ION; 25; 22600; FALSE; 22000; grenadine; 2995
SPEEDELEC OIO; 60; 21400; FALSE; 6700; golden; 1455
FOLDING BIKE FOLDING BIKE Titan; 26; 3; 13500; FALSE; pink; 1685
SPEEDELEC Dualtron; 35; 18600; FALSE; 4700; grey; 489
FOLDING BIKE FOLDING BIKE Cayman; 20; 9; 14000; FALSE; silver; 1499
E-BIKE Mando Footloose; 55; 23200; FALSE; 29000; golden; 2215
FOLDING BIKE FOLDING BIKE Crosser; 20; 3; 9700; FALSE; brown; 1105
SPEEDELEC E-Scooter; 25; 16400; FALSE; 7800; rose; 235
SPEEDELEC E-Scooter; 20; 13500; FALSE; 7500; flame; 435
SPEEDELEC Speedelec Minirider; 30; 8200; FALSE; 15000; grenadine; 775
E-BIKE SkyBike; 50; 25800; FALSE; 11000; beige; 3265
E-BIKE Ecofect; 35; 24500; FALSE; 19000; grenadine; 2865
FOLDING BIKE FOLDING BIKE Kross; 20; 18; 13300; FALSE; golden; 1445
SPEEDELEC Speedway; 15; 21900; FALSE; 6600; marine; 1475
FOLDING BIKE FOLDING BIKE Polygon; 20; 6; 9400; FALSE; black; 975
FOLDING BIKE FOLDING BIKE Crosser; 24; 18; 9700; FALSE; black; 365
SPEEDELEC Ultron; 45; 16900; FALSE; 13500; emerald; 1625
SPEEDELEC Tesla; 20; 9100; FALSE; 3900; violet; 1599
FOLDING BIKE FOLDING BIKE Author; 18; 24; 13900; FALSE; brown; 1229
SPEEDELEC Maraton; 50; 14600; FALSE; 8900; emerald; 1005
SPEEDELEC Speedway; 20; 6500; FALSE; 4800; orange; 365
E-BIKE Koga; 55; 26000; FALSE; 11000; beige; 905
FOLDING BIKE FOLDING BIKE Cayman; 18; 3; 12700; FALSE; marine; 1089
FOLDING BIKE FOLDING BIKE Polygon; 16; 3; 10200; FALSE; coral; 845
E-BIKE ElectrO; 50; 20300; FALSE; 29000; grey; 1839
FOLDING BIKE FOLDING BIKE Crosser; 20; 1; 11400; FALSE; grey; 1459
FOLDING BIKE FOLDING BIKE Brompton; 18; 9; 11900; FALSE; yellow; 845
E-BIKE Ecofect; 25; 23900; FALSE; 18000; blue; 925
SPEEDELEC Ultron; 65; 8200; FALSE; 3700; coral; 435
FOLDING BIKE FOLDING BIKE Stern; 26; 27; 10000; FALSE; green; 355
FOLDING BIKE FOLDING BIKE BMW; 16; 8; 16800; FALSE; grey; 1165
SPEEDELEC Tesla; 25; 7800; FALSE; 9500; beige; 1365
SPEEDELEC Aest; 45; 13600; FALSE; 4100; khaki; 519
E-BIKE Zaxboard; 50; 22100; FALSE; 20000; beige; 1609
E-BIKE GoCycle; 35; 19100; FALSE; 20000; golden; 3329
E-BIKE Felt; 30; 21500; FALSE; 27000; lemon; 1265
SPEEDELEC Dualtron; 30; 13900; FALSE; 12800; khaki; 1595
FOLDING BIKE FOLDING BIKE Comanche; 20; 27; 14500; FALSE; silver; 1655
E-BIKE Gazelle; 50; 21400; FALSE; 30000; green; 1889
SPEEDELEC Xiaomi; 15; 9000; FALSE; 5800; blue; 1255
E-BIKE ION; 30; 19100; FALSE; 8000; yellow; 1705
SPEEDELEC E-Scooter; 15; 21000; FALSE; 6600; beige; 1129
E-BIKE Gazelle; 25; 25300; FALSE; 19000; silver; 1029
FOLDING BIKE FOLDING BIKE Brompton; 16; 27; 8300; FALSE; grey; 195
E-BIKE Porshe Design; 60; 28300; FALSE; 27000; grey; 1005
SPEEDELEC AirWheel; 10; 7000; FALSE; 2600; blue; 1145
SPEEDELEC Booster; 15; 6500; FALSE; 3200; green; 699
E-BIKE SkyBike; 35; 26100; FALSE; 17000; yellow; 3139
FOLDING BIKE FOLDING BIKE Stern; 14; 8; 9600; FALSE; violet; 1539
FOLDING BIKE FOLDING BIKE Formula; 26; 9; 9300; FALSE; orange; 915
SPEEDELEC E-Scooter; 15; 11900; FALSE; 14500; silver; 439
FOLDING BIKE FOLDING BIKE Kross; 20; 24; 8500; FALSE; brown; 1545
E-BIKE ElectrO; 45; 24100; FALSE; 23000; silver; 919
SPEEDELEC Freego; 25; 13900; FALSE; 3800; marine; 849
E-BIKE Koga; 45; 23400; FALSE; 14000; olive; 3189
SPEEDELEC Kugoo; 65; 20700; FALSE; 5400; emerald; 1235
E-BIKE Lankeleisi; 40; 26700; FALSE; 28000; blue; 2865
E-BIKE ION; 60; 23100; FALSE; 10000; green; 2005
FOLDING BIKE FOLDING BIKE Flex; 16; 8; 14900; FALSE; violet; 365
E-BIKE Koga; 45; 27500; FALSE; 11000; golden; 3385
FOLDING BIKE FOLDING BIKE Stern; 18; 24; 9000; FALSE; emerald; 495
E-BIKE Koga; 25; 27400; FALSE; 20000; orange; 3345
E-BIKE Haibike; 55; 26300; FALSE; 18000; red; 1805
SPEEDELEC Peugeot; 35; 10300; FALSE; 9200; blue; 225
FOLDING BIKE FOLDING BIKE VNV; 14; 3; 12400; FALSE; khaki; 1169
SPEEDELEC Ultron; 55; 19800; FALSE; 14400; emerald; 1479
FOLDING BIKE FOLDING BIKE Author; 18; 9; 11600; FALSE; coral; 1605
SPEEDELEC Speedelec Minirider; 35; 21900; FALSE; 13400; dark gray; 859
E-BIKE Scott; 55; 24400; FALSE; 13000; golden; 2719
FOLDING BIKE FOLDING BIKE Titan; 20; 1; 11800; FALSE; rose; 225
FOLDING BIKE FOLDING BIKE Comanche; 24; 8; 12800; FALSE; white; 789
SPEEDELEC Aest; 30; 11600; FALSE; 8500; coral; 805
E-BIKE GoCycle; 40; 20300; FALSE; 25000; orange; 3269
E-BIKE Xiaomi; 25; 27600; FALSE; 21000; green; 2229
FOLDING BIKE FOLDING BIKE Crosser; 14; 27; 15100; FALSE; silver; 1659
FOLDING BIKE FOLDING BIKE Cayman; 24; 27; 14000; FALSE; rose; 665
FOLDING BIKE FOLDING BIKE Author; 20; 7; 8800; FALSE; beige; 449
SPEEDELEC EcoRide; 60; 19400; FALSE; 5100; khaki; 715
E-BIKE Xiaomi; 45; 27400; FALSE; 16000; silver; 1239
SPEEDELEC Peugeot; 60; 21100; FALSE; 15800; lemon; 199
SPEEDELEC Smart; 35; 20300; FALSE; 14500; khaki; 885
FOLDING BIKE FOLDING BIKE Dahon; 14; 27; 9700; FALSE; white; 1215
SPEEDELEC Ultron; 60; 10400; FALSE; 7000; emerald; 489
FOLDING BIKE FOLDING BIKE VNV; 20; 3; 10400; FALSE; silver; 445
SPEEDELEC EcoRide; 20; 21500; FALSE; 11900; marine; 1375
FOLDING BIKE FOLDING BIKE VNV; 26; 8; 14900; FALSE; marine; 825
FOLDING BIKE FOLDING BIKE VNV; 20; 18; 8500; FALSE; green; 339
SPEEDELEC Tesla; 10; 13400; FALSE; 11300; orange; 1115
FOLDING BIKE FOLDING BIKE Flex; 26; 9; 12900; FALSE; marine; 349
FOLDING BIKE FOLDING BIKE Author; 24; 18; 15300; FALSE; red; 1079
SPEEDELEC Aest; 65; 14200; FALSE; 14200; grey; 1479
SPEEDELEC Booster; 55; 11700; FALSE; 6000; marine; 1299
FOLDING BIKE FOLDING BIKE Titan; 20; 8; 10200; FALSE; pink; 185
SPEEDELEC Tesla; 50; 19500; FALSE; 6000; emerald; 1395
FOLDING BIKE FOLDING BIKE Make Bike; 20; 7; 8800; FALSE; khaki; 799
SPEEDELEC Xiaomi; 35; 21600; FALSE; 8300; black; 1565
FOLDING BIKE FOLDING BIKE Titan; 24; 18; 12200; FALSE; grenadine; 1509
SPEEDELEC Freego; 45; 10400; FALSE; 2900; green; 985
E-BIKE Farad; 30; 19200; FALSE; 10000; brown; 1955
SPEEDELEC Kugoo; 60; 17700; FALSE; 9900; coral; 1175
FOLDING BIKE FOLDING BIKE Titan; 20; 7; 10300; FALSE; yellow; 1425
FOLDING BIKE FOLDING BIKE Polygon; 20; 3; 9000; FALSE; coral; 795
SPEEDELEC Booster; 50; 19600; FALSE; 9100; olive; 779
SPEEDELEC EcoRide; 60; 20000; FALSE; 2000; green; 699
SPEEDELEC Kugoo; 10; 14300; FALSE; 3300; olive; 1515
E-BIKE Rover; 45; 24900; FALSE; 12000; brown; 2665
E-BIKE Gazelle; 60; 19600; FALSE; 12000; yellow; 835
SPEEDELEC Booster; 30; 8300; FALSE; 4000; orange; 835
FOLDING BIKE FOLDING BIKE SkyBike; 24; 21; 15700; FALSE; grenadine; 295
FOLDING BIKE FOLDING BIKE Polygon; 26; 9; 12800; FALSE; yellow; 1575
SPEEDELEC Segway; 30; 20600; FALSE; 9000; dark gray; 429
E-BIKE Zaxboard; 45; 20300; FALSE; 25000; green; 3059
SPEEDELEC Xiaomi; 65; 20900; FALSE; 3400; beige; 1139
SPEEDELEC Dualtron; 15; 10600; FALSE; 3400; white; 439
FOLDING BIKE FOLDING BIKE Author; 24; 7; 11000; FALSE; grenadine; 249
E-BIKE Rover; 40; 19300; FALSE; 26000; blue; 2295
E-BIKE Farad; 60; 28300; FALSE; 12000; khaki; 2345
FOLDING BIKE FOLDING BIKE Polygon; 24; 1; 9100; FALSE; flame; 449
SPEEDELEC Speedelec Minirider; 45; 10000; FALSE; 6600; white; 1599
SPEEDELEC ITrike; 45; 13200; FALSE; 2100; green; 715
SPEEDELEC Tesla; 40; 13900; FALSE; 14400; coral; 725
E-BIKE Scott; 25; 20200; FALSE; 24000; khaki; 2895
FOLDING BIKE FOLDING BIKE Benetti; 26; 6; 15000; FALSE; silver; 1315
SPEEDELEC Booster; 55; 7600; FALSE; 8300; olive; 1339
SPEEDELEC Segway; 10; 10300; FALSE; 6700; golden; 1055
FOLDING BIKE FOLDING BIKE Comanche; 24; 18; 8400; FALSE; golden; 599
SPEEDELEC Maraton; 65; 21700; FALSE; 8700; emerald; 1445
FOLDING BIKE FOLDING BIKE Comanche; 20; 6; 15100; FALSE; pink; 1259
FOLDING BIKE FOLDING BIKE VNV; 20; 1; 10700; FALSE; white; 1275
FOLDING BIKE FOLDING BIKE Titan; 14; 9; 10400; FALSE; golden; 1375
FOLDING BIKE FOLDING BIKE Trinx; 24; 8; 16100; FALSE; dark gray; 505
E-BIKE Scott; 40; 19100; FALSE; 27000; marine; 969
E-BIKE Porshe Design; 45; 28900; FALSE; 29000; khaki; 1399
SPEEDELEC Xiaomi; 15; 6600; FALSE; 15900; yellow; 1515
SPEEDELEC Freego; 35; 20100; FALSE; 2100; olive; 295
FOLDING BIKE FOLDING BIKE Trinx; 20; 6; 11000; FALSE; blue; 1209
SPEEDELEC EcoRide; 60; 19100; FALSE; 2800; olive; 879
E-BIKE ION; 50; 25600; FALSE; 24000; blue; 1835
E-BIKE SkyBike; 20; 23700; FALSE; 22000; golden; 2645
SPEEDELEC Maraton; 60; 7800; FALSE; 14900; flame; 1239
FOLDING BIKE FOLDING BIKE Trinx; 14; 6; 10400; FALSE; dark gray; 1535
SPEEDELEC Xiaomi; 45; 21100; FALSE; 2200; white; 625
E-BIKE Zaxboard; 65; 25900; FALSE; 9000; rose; 2945
E-BIKE SkyBike; 45; 22100; FALSE; 13000; silver; 1039
FOLDING BIKE FOLDING BIKE Flex; 18; 27; 12400; FALSE; yellow; 829
SPEEDELEC Kugoo; 20; 9000; FALSE; 9900; black; 1225
E-BIKE GoCycle; 60; 23700; FALSE; 18000; orange; 1219
E-BIKE ElectrO; 65; 20500; FALSE; 13000; yellow; 1849
SPEEDELEC Speedelec Minirider; 65; 14100; FALSE; 8000; pink; 1375
E-BIKE Farad; 45; 26200; FALSE; 14000; black; 2875
FOLDING BIKE FOLDING BIKE Comanche; 16; 7; 10700; FALSE; pink; 359
FOLDING BIKE FOLDING BIKE Cayman; 18; 8; 13200; FALSE; pink; 715
FOLDING BIKE FOLDING BIKE SkyBike; 20; 3; 12900; FALSE; grenadine; 775
E-BIKE Ecofect; 40; 23900; FALSE; 14000; olive; 2839
SPEEDELEC Xiaomi; 10; 17400; FALSE; 3000; black; 295
FOLDING BIKE FOLDING BIKE Brompton; 20; 18; 9700; FALSE; golden; 815
SPEEDELEC Speedelec Minirider; 30; 14400; FALSE; 7800; rose; 1445
FOLDING BIKE FOLDING BIKE West Bike; 24; 6; 15200; FALSE; grey; 1119
FOLDING BIKE FOLDING BIKE BMW; 16; 6; 12500; FALSE; marine; 1559
E-BIKE Farad; 35; 25900; FALSE; 24000; lemon; 2679
SPEEDELEC EcoRide; 15; 12300; FALSE; 6200; rose; 1565
SPEEDELEC AirWheel; 20; 6500; FALSE; 2100; flame; 199
SPEEDELEC AirWheel; 20; 13900; FALSE; 14700; golden; 549
FOLDING BIKE FOLDING BIKE Trinx; 20; 1; 10700; FALSE; green; 1599
E-BIKE Gazelle; 65; 20500; FALSE; 21000; black; 1175
FOLDING BIKE FOLDING BIKE Dahon; 14; 3; 8100; FALSE; marine; 349
SPEEDELEC Kugoo; 60; 9000; FALSE; 6400; orange; 1639
E-BIKE Scott; 60; 19000; FALSE; 23000; beige; 1475
SPEEDELEC Tesla; 65; 18500; FALSE; 9200; green; 319
FOLDING BIKE FOLDING BIKE BMW; 20; 1; 16800; FALSE; grenadine; 625
FOLDING BIKE FOLDING BIKE Titan; 24; 24; 10800; FALSE; lemon; 1485
E-BIKE Rover; 50; 22600; FALSE; 9000; black; 2369
E-BIKE Haibike; 45; 27600; FALSE; 17000; flame; 809
E-BIKE SkyBike; 20; 25600; FALSE; 22000; white; 3329
E-BIKE E-Motion; 35; 21300; FALSE; 29000; violet; 1799
FOLDING BIKE FOLDING BIKE Make Bike; 16; 18; 9200; FALSE; brown; 385
FOLDING BIKE FOLDING BIKE Trinx; 14; 3; 9100; FALSE; coral; 679
SPEEDELEC ITrike; 25; 14500; FALSE; 2800; white; 915
FOLDING BIKE FOLDING BIKE Make Bike; 20; 7; 12300; FALSE; orange; 959
FOLDING BIKE FOLDING BIKE Trinx; 14; 18; 12100; FALSE; black; 435
E-BIKE Haibike; 45; 24200; FALSE; 16000; khaki; 2765
SPEEDELEC Speedway; 25; 13800; FALSE; 8000; silver; 1555
FOLDING BIKE FOLDING BIKE Dahon; 18; 27; 11800; FALSE; brown; 839
FOLDING BIKE FOLDING BIKE Cayman; 20; 21; 15100; FALSE; pink; 1479
E-BIKE ION; 40; 28200; FALSE; 11000; brown; 1695
FOLDING BIKE FOLDING BIKE Intertool; 20; 7; 11200; FALSE; coral; 1129
SPEEDELEC Peugeot; 25; 19000; FALSE; 9100; brown; 975
E-BIKE Rover; 30; 19200; FALSE; 21000; rose; 2065
FOLDING BIKE FOLDING BIKE Cayman; 26; 6; 11800; FALSE; black; 1259
FOLDING BIKE FOLDING BIKE Make Bike; 16; 7; 9800; FALSE; green; 395
SPEEDELEC AirWheel; 30; 6900; FALSE; 14400; marine; 1669
E-BIKE Mando Footloose; 25; 20300; FALSE; 14000; white; 2565
E-BIKE ElectrO; 30; 20600; FALSE; 31000; red; 2899
SPEEDELEC Xiaomi; 45; 19900; FALSE; 12800; silver; 575
FOLDING BIKE FOLDING BIKE Brompton; 20; 7; 15300; FALSE; khaki; 299
E-BIKE Lankeleisi; 65; 25900; FALSE; 15000; flame; 1315
E-BIKE Gazelle; 20; 25600; FALSE; 8000; marine; 1405
